Zvalue	Max	Min	zRange	zRangePrev	IO
-28541	0	32767	0	25	7000
-28534	0	32767	0	25	7000
-28541	0	-29408	25	25	8000
-28540	0	-29408	25	25	8000
-28534	24712	-29408	25	25	8000
-28528	24712	-29408	25	25	8000
-28524	24712	-29408	25	25	8000
-28520	24712	-29408	25	25	8000
-28526	0	-29408	25	25	7000
-28530	0	-29408	25	25	7000
-28533	0	-29408	25	25	7000
-28533	0	-29408	25	25	7000
-28532	0	-29408	25	25	7000
-28530	0	-29408	25	25	7000
-28526	0	-32352	25	25	8000
-28520	0	-32352	25	25	8000
-28521	21776	-32352	25	25	8000
-28524	21776	-32352	25	25	8000
-28523	21776	-32352	25	25	8000
-28523	0	-32352	25	25	8000
-28525	0	-32352	25	25	8000
-28525	0	-32352	25	25	7000
-28525	0	-32352	25	25	7000
-28526	0	-32352	25	25	7000
-28525	0	-32352	25	25	7000
-28524	0	-29568	25	25	8000
-28523	0	-29568	25	25	8000
-28523	24560	-29568	25	25	8000
-28524	24560	-29568	25	25	8000
-28526	24560	-29568	25	25	8000
-28526	24560	-29568	25	25	8000
-28528	0	-29568	25	25	7000
-28527	0	-29568	25	25	7000
-28524	0	-29568	25	25	7000
-28520	0	-29568	25	25	7000
-28524	0	-29568	25	25	7000
-28527	0	-29568	25	25	7000
-28531	0	-32488	25	25	8000
-28527	0	-32488	25	25	8000
-28519	21632	-32488	25	25	8000
-28520	21632	15928	25	25	8000
-28530	21632	15928	25	25	8000
-28532	21632	15928	25	25	8000
-28527	21632	15928	25	25	8000
-28514	21632	15928	25	25	8000
-28517	21632	15928	25	25	8000
-28526	21632	15928	25	25	8000
-28540	21632	15928	25	25	8000
-28538	21632	15928	25	25	8000
-28525	21632	15928	25	25	8000
-28517	21632	15928	25	25	8000
-28525	21632	15928	25	25	8000
-28525	21632	15928	25	25	8000
-28530	21632	15928	25	25	8000
-28530	21632	15928	25	25	8000
-28524	21632	15928	25	25	8000
-28523	21632	15928	25	25	8000
-28520	21632	15928	25	25	8000
-28518	21632	15928	25	25	8000
-28521	21632	15928	25	25	8000
-28526	21632	15928	25	25	8000
-28526	21632	15928	25	25	8000
-28525	21632	15928	25	25	8000
-28525	21632	15928	25	25	8000
-28527	21632	15928	25	25	8000
-28525	21632	15928	25	25	8000
-28525	21632	15928	25	25	8000
-28528	21632	15928	25	25	8000
-28523	21632	15928	25	25	8000
-28520	21632	15928	25	25	8000
-28524	21632	15928	25	25	8000
-28525	21632	15928	25	25	8000
-28525	21632	15928	25	25	8000
-28526	15952	15928	25	25	8000
-28524	15952	15928	25	25	8000
-28525	15952	15928	25	25	8000
-28525	15952	15928	25	25	8000
-28523	15952	15944	25	25	8000
